"ID","adj.P.Val","P.Value","t","B","logFC","GB_ACC","SPOT_ID","Gene.Symbol","Gene.Title"
"217749_at",0.0695512847218704,0.000195867455820035,4.21564867482014,0.718843449322986,0.822852459495984,"NM_016128","","COPG1","coatomer protein complex, subunit gamma 1"
"212671_s_at",0.0694957017678881,0.000187242081443469,-4.23159336068235,0.717264896991179,-2.07914553390736,"BG397856","","HLA-DQA1 /// HLA-DQA2 /// LOC100509457","major histocompatibility complex, class II, DQ alpha 1 /// major histocompatibility complex, class II, DQ alpha 2 /// HLA class II histocompatibility antigen, DQ alpha 1 chain-like"
"208689_s_at",0.0694957017678881,0.000193202499656497,4.22050005276105,0.70233065640099,0.984829082687206,"BC003560","","RPN2","ribophorin II"
"226876_at",0.0694957017678881,0.000192683964181005,-4.22145166106209,0.697306249444602,-0.850293062927387,"AI961778","","FAM101B","family with sequence similarity 101, member B"
"34210_at",0.0694957017678881,0.000183164381925698,-4.23938469289111,0.691543965470683,-0.732119671267066,"N90866","","CD52","CD52 molecule"
"233932_at",0.0547173604642777,0.000117090647907096,-4.39717059823428,0.67885320202032,-2.2978382225356,"AL109791","","",""
"226959_at",0.0695512847218704,0.00020398528214837,-4.20126116876041,0.668686187287528,-0.724677513216057,"AL137430","","LOC283070","uncharacterized LOC283070"
"218100_s_at",0.0695512847218704,0.000202351433496339,-4.20411106529591,0.662818001935585,-0.794968286491295,"NM_018010","","IFT57","intraflagellar transport 57 homolog (Chlamydomonas)"
"205861_at",0.0695512847218704,0.00021059147964443,-4.18996251729692,0.658406270377357,-0.855533173846833,"NM_003121","","SPIB","Spi-B transcription factor (Spi-1/PU.1 related)"
"211343_s_at",0.0695512847218704,0.000206264223980098,-4.19732332314809,0.646278432374132,-1.43143469184845,"M33653","","COL13A1","collagen, type XIII, alpha 1"
"208716_s_at",0.0695512847218704,0.000204381600968708,4.20057326016702,0.644700021418079,0.774370187512346,"AB020980","","TMCO1","transmembrane and coiled-coil domains 1"
"203800_s_at",0.0695512847218704,0.000209006372463269,4.19264142508281,0.63083925376754,0.931598950044487,"BG254653","","MRPS14","mitochondrial ribosomal protein S14"
"1555274_a_at",0.0695512847218704,0.000214429578237111,4.18355720652632,0.625749807949192,0.978241866672518,"BC021229","","EPT1","ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific)"
"213399_x_at",0.0695512847218704,0.000202271041998411,4.20425187455659,0.62258099084188,0.716336426865954,"AI560720","","RPN2","ribophorin II"
"228193_s_at",0.0695512847218704,0.00020967105862732,-4.19151564897826,0.621551165587328,-1.66448325764993,"AI744499","","",""
"227164_at",0.0695512847218704,0.000217702106457363,4.17818418225512,0.617737977519681,0.995361158927543,"AL521786","","SRSF1","serine/arginine-rich splicing factor 1"
"1569040_s_at",0.0695512847218704,0.000220019789883643,4.17442669872148,0.608620971603405,1.75632118130788,"AA632139","","ANKRD36BP2","ankyrin repeat domain 36B pseudogene 2"
"36545_s_at",0.0695512847218704,0.000216562351024591,-4.18004643081849,0.601760599919454,-0.894407637727545,"AB011114","","SFI1","Sfi1 homolog, spindle assembly associated (yeast)"
